participant_id,video_id,category,watch_time,ratio
312312312312,tech-2,Tech,16.34,0.3
312312312312,art-1,Art,5.27,0.11
312312312312,comedy-2,Comedy,3.22,0.06
312312312312,animals-2,Animals,1.66,0.03
312312312312,nature-3,Nature,1.68,0.03
312312312312,asmr-3,ASMR,1.21,0.02
312312312312,gaming-2,Gaming,0,0
312312312312,diy-1,DIY,1.5,0.03
312312312312,nature-1,Nature,1.22,0.02
312312312312,fashion-1,Fashion,0,0
312312312312,travel-2,Travel,1.56,0.03
312312312312,cooking-1,Cooking,2.6,0.05
312312312312,music-2,Music,0.61,0.01
312312312312,sports-2,Sports,0,0
312312312312,tech-1,Tech,0,0
312312312312,science-1,Science,0.65,0.01
312312312312,science-3,Science,0.67,0.01
312312312312,nature-2,Nature,0.73,0.02
312312312312,travel-2,Travel,0.69,0.01
312312312312,science-3,Science,0.73,0.02
312312312312,tech-2,Tech,5.16,0.09
312312312312,gaming-3,Gaming,1.77,0.04
312312312312,tech-1,Tech,0,0
312312312312,diy-1,DIY,1.24,0.02
312312312312,fashion-1,Fashion,0,0
312312312312,animals-1,Animals,0.62,0.01
312312312312,sports-1,Sports,0,0
312312312312,sports-2,Sports,0,0
312312312312,nature-3,Nature,12.69,0.25
312312312312,music-1,Music,0.76,0.02
312312312312,animals-1,Animals,0.15,0
312312312312,sports-3,Sports,0,0
312312312312,nature-2,Nature,12.24,0.27
312312312312,science-1,Science,1.36,0.02
312312312312,art-1,Art,0.71,0.01
312312312312,music-2,Music,0.21,0
312312312312,sports-2,Sports,0,0
312312312312,fashion-2,Fashion,1.06,0.02
312312312312,animals-2,Animals,0.62,0.01
312312312312,nature-3,Nature,2.67,0.05
312312312312,art-1,Art,1.69,0.03
312312312312,gaming-3,Gaming,1.68,0.03
312312312312,nature-2,Nature,1.16,0.03
312312312312,animals-1,Animals,1.19,0.03
312312312312,sports-1,Sports,0,0
312312312312,science-2,Science,12.23,0.24
312312312312,music-2,Music,0.3,0.01
312312312312,gaming-1,Gaming,0,0
312312312312,tech-2,Tech,3.22,0.06
312312312312,gaming-3,Gaming,1.14,0.02
312312312312,fashion-2,Fashion,1.16,0.02
312312312312,gaming-3,Gaming,0.68,0.01
312312312312,comedy-1,Comedy,0.65,0.02
312312312312,music-1,Music,0.69,0.01
312312312312,gaming-1,Gaming,0,0
312312312312,cooking-1,Cooking,5.19,0.09
312312312312,fashion-2,Fashion,3.16,0.07
312312312312,sports-1,Sports,0,0
312312312312,diy-2,DIY,0,0
312312312312,comedy-2,Comedy,12.4,0.23
312312312312,fashion-2,Fashion,1.29,0.03
312312312312,music-1,Music,0.23,0
312312312312,science-2,Science,12.56,0.24
312312312312,asmr-2,ASMR,12.72,0.23
312312312312,fashion-2,Fashion,0.31,0.01
312312312312,science-2,Science,0.73,0.01
312312312312,music-3,Music,1.21,0.02
312312312312,asmr-2,ASMR,0.2,0
312312312312,comedy-3,Comedy,0.19,0
312312312312,cooking-2,Cooking,0,0
312312312312,comedy-1,Comedy,5.24,0.12
312312312312,art-2,Art,0,0
312312312312,asmr-2,ASMR,5.85,0.11
312312312312,tech-2,Tech,1.85,0.03
312312312312,sports-2,Sports,0,0
312312312312,diy-1,DIY,3.03,0.05
312312312312,fashion-2,Fashion,3.64,0.08
312312312312,tech-1,Tech,0,0
312312312312,comedy-3,Comedy,3.16,0.06
312312312312,art-2,Art,0,0
312312312312,diy-3,DIY,0,0
312312312312,diy-1,DIY,0.27,0
312312312312,science-3,Science,0.64,0.01
312312312312,comedy-1,Comedy,0.22,0.01
312312312312,gaming-2,Gaming,0,0
312312312312,asmr-3,ASMR,0.72,0.01
312312312312,science-2,Science,0.73,0.01
312312312312,gaming-3,Gaming,0.64,0.01
312312312312,nature-2,Nature,7.73,0.17
312312312312,sports-2,Sports,0,0
312312312312,sports-1,Sports,0,0
312312312312,diy-3,DIY,0,0
312312312312,art-1,Art,1.36,0.03
312312312312,science-2,Science,3.2,0.06
312312312312,nature-2,Nature,6.22,0.14
312312312312,travel-1,Travel,0,0
312312312312,gaming-3,Gaming,0.79,0.02
312312312312,animals-2,Animals,1.21,0.02
312312312312,travel-3,Travel,0,0
312312312312,music-1,Music,0.68,0.01
dsadas,fashion-2,Fashion,34.2,0.71
dsadas,asmr-2,ASMR,6.32,0.11
dsadas,science-2,Science,0.25,0
dsadas,cooking-2,Cooking,0,0
dsadas,art-2,Art,0,0
dsadas,tech-2,Tech,30.44,0.55
dsadas,travel-2,Travel,33.53,0.56
dsadas,music-1,Music,0,0
dsadas,nature-2,Nature,12.57,0.28
dsadas,travel-1,Travel,0,0
dsadas,nature-1,Nature,0.54,0.01
dsadas,diy-1,DIY,10,0.17
dsadas,tech-1,Tech,0,0
dsadas,animals-2,Animals,0,0
dsadas,comedy-2,Comedy,12.62,0.23
dsadas,fashion-2,Fashion,0.65,0.01
dsadas,comedy-1,Comedy,12.57,0.3
dsadas,gaming-2,Gaming,0,0
dsadas,sports-3,Sports,0,0
dsadas,tech-1,Tech,0,0
dsadas,comedy-3,Comedy,12.46,0.25
dsadas,science-2,Science,12.63,0.24
dsadas,cooking-2,Cooking,0,0
dsadas,fashion-2,Fashion,0,0
dsadas,comedy-1,Comedy,12.71,0.3
dsadas,asmr-1,ASMR,12.55,0.22
dsadas,asmr-3,ASMR,0.61,0.01
dsadas,comedy-1,Comedy,0.86,0.02
dsadas,music-1,Music,0,0
dsadas,science-2,Science,0.35,0.01
dsadas,science-3,Science,0.43,0.01
dsadas,cooking-1,Cooking,0,0
dsadas,comedy-2,Comedy,0.49,0.01
dsadas,nature-2,Nature,0.46,0.01
dsadas,science-3,Science,0.54,0.01
dsadas,music-2,Music,0,0
dsadas,travel-2,Travel,1.36,0.02
dsadas,science-3,Science,0.59,0.01
dsadas,science-1,Science,0.21,0
dsadas,animals-3,Animals,0,0
dsadas,science-1,Science,0.59,0.01
dsadas,fashion-1,Fashion,0,0
dsadas,comedy-1,Comedy,0.69,0.02
dsadas,tech-2,Tech,1.11,0.02
dsadas,gaming-1,Gaming,0,0
dsadas,fashion-2,Fashion,13.71,0.29
dsadas,fashion-1,Fashion,0,0
dsadas,gaming-3,Gaming,0.56,0.01
dsadas,art-2,Art,0,0
dsadas,music-2,Music,0,0
dsadas,animals-3,Animals,0,0
dsadas,gaming-3,Gaming,0.28,0.01
dsadas,music-3,Music,0,0
dsadas,travel-3,Travel,0,0
dsadas,art-2,Art,0,0
dsadas,gaming-1,Gaming,0,0
dsadas,gaming-3,Gaming,1.28,0.03
dsadas,travel-1,Travel,0,0
dsadas,animals-1,Animals,16.59,0.39
dsadas,fashion-2,Fashion,2.27,0.05
dsadas,animals-1,Animals,16.6,0.4
dsadas,science-3,Science,12.52,0.26
dsadas,cooking-2,Cooking,0,0
dsadas,animals-1,Animals,5.74,0.14
dasdasdasdas1312312,sports-2,Sports,0,0
dasdasdasdas1312312,gaming-3,Gaming,2.53,0.05
dasdasdasdas1312312,diy-1,DIY,0.81,0.01
dasdasdasdas1312312,art-1,Art,3.7,0.07
dasdasdasdas1312312,comedy-2,Comedy,5.74,0.1
dasdasdasdas1312312,sports-3,Sports,0,0
dasdasdasdas1312312,cooking-1,Cooking,13.48,0.25
dasdasdasdas1312312,travel-1,Travel,0,0
dasdasdasdas1312312,diy-3,DIY,0,0
dasdasdasdas1312312,tech-2,Tech,7.36,0.13
dasdasdasdas1312312,tech-1,Tech,0,0
dasdasdasdas1312312,travel-3,Travel,0,0
dasdasdasdas1312312,cooking-3,Cooking,0,0
dasdasdasdas1312312,nature-2,Nature,10.54,0.23
dasdasdasdas1312312,cooking-2,Cooking,0,0
dasdasdasdas1312312,science-1,Science,1.72,0.03
dasdasdasdas1312312,music-3,Music,2.97,0.06
dasdasdasdas1312312,music-1,Music,0.57,0.01
dasdasdasdas1312312,science-2,Science,7.18,0.14
dasdasdasdas1312312,animals-3,Animals,0,0
dasdasdasdas1312312,gaming-2,Gaming,0,0
dasdasdasdas1312312,fashion-1,Fashion,0,0
dasdasdasdas1312312,comedy-1,Comedy,0.81,0.02
dasdasdasdas1312312,diy-2,DIY,0,0
dasdasdasdas1312312,gaming-1,Gaming,0,0
dasdasdasdas1312312,animals-1,Animals,1.06,0.03
dasdasdasdas1312312,animals-2,Animals,0.73,0.01
dasdasdasdas1312312,asmr-1,ASMR,12.29,0.21
dasdasdasdas1312312,nature-1,Nature,11.72,0.2
dasdasdasdas1312312,asmr-3,ASMR,1.05,0.02
